multiplier,weight
0.00,53282084
0.02,1666667
0.05,666667
0.08,416667
0.10,2029073
0.125,186976
0.15,186975
0.175,186975
0.90,1703643
0.925,1703642
0.95,1703642
0.975,2549073
1.00,2255899
1.02,565378
1.03,1
1.04,924706
1.05,1
1.06,829651
1.08,829621
1.09,1
1.10,829618
1.12,1529152
1.14,829618
1.15,1
1.16,417590
1.18,417589
1.20,413011
1.22,413011
1.23,1
1.24,413011
1.25,1
1.26,413011
1.28,413011
1.30,101898
1.32,1427
1.34,1427
1.36,1427
1.38,1427
1.40,1427
1.42,1427
1.44,1427
1.46,1427
1.48,1427
1.50,1432404
1.52,1
1.54,1
1.56,1
1.58,1
1.60,1
1.62,1
1.64,1
1.66,1
1.68,1
1.70,1
1.72,1
1.74,1
1.76,1
2.00,2542276
2.07,2035863
2.19,2035863
2.33,1993903
2.47,1907708
2.50,1890794
2.61,1722081
2.77,1648010
2.94,895395
3.00,1594
3.11,1594
3.30,1594
3.50,1594
3.71,1594
3.93,1593
4.16,13
4.41,13
4.68,1
4.96,90001
5.00,1202429
5.26,183308
5.57,183308
5.91,183307
6.26,183308
6.64,183309
7.04,182640
7.46,170372
7.50,169282
7.91,158808
8.38,26366
9.42,2684
9.98,123298
10.0,321821
10.6,32144
11.2,32144
11.9,32143
12.6,32143
13.4,32143
14.2,32143
15.0,32145
15.9,32145
16.9,12810
17.9,1434
18.9,115009
20.0,144391
20.1,4
21.3,4
22.6,4
23.9,3
25.0,3
25.4,3
26.9,3
28.5,4
30.0,4
30.2,4
32.0,4
33.9,4
34.0,1
36.0,1
38.1,3
40.0,100308
