multiplier,weight
0.00,38233213
0.02,1666667
0.05,666667
0.08,416667
0.10,845089
0.90,1528645
0.925,1528645
0.95,1528645
0.975,1818975
1.00,3397173
1.02,3397174
1.04,3397173
1.06,3397174
1.08,3397174
1.10,3397174
1.12,3397174
1.14,3343306
1.16,1454109
1.18,597209
1.20,596470
1.22,595817
1.24,595221
1.26,594701
1.28,594687
1.30,594676
1.32,594666
1.34,594653
1.36,594640
1.38,594623
1.40,594614
1.42,594601
1.44,594591
1.46,594585
1.48,594579
1.50,594572
1.52,32774
1.54,32773
1.56,32773
1.58,32773
1.60,32773
1.62,32773
1.64,32773
1.66,32773
1.68,32773
1.70,32773
1.72,32773
1.74,32773
1.76,32773
1.78,32773
1.80,32773
1.90,816828
1.92,816828
1.94,291703
1.96,1
1.98,120976
2.00,658218
2.07,762321
2.19,733612
2.33,668496
2.47,612474
2.50,601482
2.61,563861
2.77,515719
2.94,471641
3.00,457563
3.11,433503
3.30,396608
3.50,363104
3.71,332715
3.93,305172
4.16,280216
4.41,256729
4.68,234836
4.96,303798
5.00,55663
5.26,95606
5.57,95606
5.91,95605
6.26,93457
6.64,87076
7.04,81173
7.46,75721
7.50,75236
7.91,70581
8.38,65858
8.88,61434
9.42,57232
9.98,106470
10.0,19078
10.6,37691
11.2,37692
11.9,37692
12.6,37692
13.4,36337
14.2,33021
15.0,30166
15.9,27401
16.9,24778
17.9,22535
18.9,20602
20.0,18766
20.1,18612
21.3,2501
22.6,15339
23.9,28630
25.0,19000
