multiplier,weight
0.00,70859902
0.02,1666667
0.05,666667
0.08,416667
0.10,1084597
0.875,41529
0.90,1506377
0.925,1506378
0.95,1506378
0.975,1604740
1.00,1602301
1.02,960350
1.04,1602300
1.06,1427398
1.08,184075
1.10,176703
1.12,176694
1.14,176692
1.16,152308
1.18,152307
1.20,152307
1.22,152307
1.24,152306
1.26,152306
1.28,152305
1.30,152305
1.32,152305
1.34,152305
1.36,152304
1.38,152302
1.40,152301
1.42,152301
1.44,152301
1.46,152301
1.48,152301
1.50,23613
1.52,32
1.54,32
1.56,32
1.58,32
1.60,32
1.62,32
1.64,32
1.66,32
1.68,32
1.70,32
1.72,32
1.74,32
1.76,32
1.78,32
1.80,1486
2.00,513190
2.07,471274
2.19,451454
2.33,411382
2.47,376907
2.50,370143
2.61,346991
2.77,317366
2.94,290241
3.00,281577
3.11,266771
3.30,244067
3.50,223448
3.71,204748
3.93,187798
4.16,172441
4.41,157987
4.68,144514
4.96,142452
5.00,215464
5.26,184846
5.57,184846
5.91,175240
6.26,163550
6.64,152383
7.04,142054
7.46,132511
7.50,131664
7.91,123517
8.38,115251
8.88,107509
9.42,100156
9.98,103451
10.0,250980
10.6,214333
11.2,214332
11.9,201703
12.6,188332
13.4,174922
14.2,163163
15.0,152778
15.9,142460
16.9,132405
17.9,123579
18.9,125775
20.0,22348
20.1,18843
21.3,18843
22.6,18844
23.9,18844
25.0,18844
25.4,18844
26.9,18844
28.5,18845
30.0,18845
30.2,18845
32.0,18844
33.9,18696
36.0,18299
38.1,17932
40.0,17622
40.4,17560
42.8,17201
45.4,16843
48.1,26498
50.0,17953
51.0,8860
54.1,8859
57.3,8859
60.8,8859
64.4,8860
68.3,8859
72.4,8860
75.0,8859
76.7,8860
81.3,8859
85.0,2503
86.2,8859
91.4,8859
96.8,8859
100,11000
