multiplier,weight
0.00,28990444
0.02,1666667
0.05,666667
0.08,416667
0.10,1
0.875,450662
0.90,450663
0.925,731035
0.95,731035
0.97,2
0.975,3905525
1.00,3905524
1.02,3848807
1.04,3905525
1.06,3905525
1.08,3905525
1.10,3905525
1.12,3905525
1.14,3905526
1.16,3905526
1.18,3456727
1.20,3032090
1.22,2201393
1.24,2201344
1.26,2201310
1.28,2201276
1.30,2104818
1.32,736162
1.34,736145
1.36,285029
1.38,54900
1.40,54893
1.42,54890
1.44,52754
1.46,4368
1.48,4367
1.50,4365
1.52,213
1.54,213
1.56,213
1.58,213
1.60,213
1.62,212
1.64,212
1.66,212
1.68,212
1.70,2
1.72,2
1.74,2
1.76,2
1.78,2
1.80,56725
2.00,581952
2.07,552683
2.19,507886
2.33,462805
2.47,424020
2.50,416411
2.61,390365
2.77,357036
2.94,326521
3.00,316774
3.11,300118
3.30,274575
3.50,251380
3.71,230341
3.93,211273
4.16,193996
4.41,177735
4.68,162579
4.96,149008
5.00,84141
5.26,79176
5.57,73918
5.91,68844
6.26,64252
6.64,59865
7.04,55807
7.46,52058
7.50,51725
7.91,48525
8.38,45277
8.88,42236
9.42,39347
9.98,36713
10.0,48177
10.6,43761
11.2,39960
11.9,36156
12.6,32902
13.4,29724
14.2,27012
15.0,24677
15.9,22415
16.9,20269
17.0,2501
17.9,18434
18.9,15815
20.0,1000
