multiplier,weight
0.00,72063116
0.02,1558163
0.05,724535
0.08,407625
0.10,1154948
0.48,2
0.50,2
0.51,2
0.54,2
0.57,2
0.61,2
0.65,2
0.68,2
0.73,2
0.77,2
0.80,38410
0.81,2
0.825,38410
0.85,140868
0.86,2
0.875,376087
0.90,1542904
0.92,2
0.925,1539058
0.95,1546562
0.97,2
0.975,1552667
1.00,1528117
1.02,1493127
1.04,1480514
1.06,1480487
1.08,1480467
1.10,41100
1.12,27703
1.14,27697
1.16,9967
1.18,9965
1.20,9964
1.22,9964
1.24,9964
1.26,9964
1.28,9964
1.30,9964
1.32,718
1.34,718
1.36,718
1.38,718
1.40,718
1.42,718
1.44,718
1.46,717
1.48,717
1.50,717
1.52,1
1.54,1
1.56,1
1.58,1
1.60,1
1.62,1
1.64,1
1.66,1
1.68,1
1.70,1
1.72,1
1.74,1
1.76,1
1.78,1
1.80,57111
2.00,1387421
2.07,364982
2.19,364984
2.33,334248
2.47,306237
2.50,300741
2.61,281931
2.77,257860
2.94,235821
3.00,228782
3.11,216752
3.30,198304
3.50,181552
3.71,166357
3.93,94054
4.16,43954
4.41,37662
4.68,31948
4.96,21028
5.00,438009
5.26,149409
5.57,149409
5.91,149410
6.26,140186
6.64,130614
7.04,121760
7.46,113581
7.50,112855
7.91,105872
8.38,98787
8.88,92150
9.42,41265
9.98,14108
10.0,389414
10.6,174285
11.2,174285
11.9,172888
12.6,161428
13.4,149933
14.2,139854
15.0,130952
15.9,122108
16.9,113490
17.9,105925
18.9,26467
20.0,167676
20.1,41282
21.3,41283
22.6,41282
23.9,41284
25.0,40274
25.4,39233
26.9,35689
28.5,32444
30.0,29811
32.0,26800
33.9,24367
36.0,22066
38.1,20096
40.0,18545
42.8,16586
45.4,15048
48.1,17813
50.0,22273
51.0,5644
54.1,5644
57.3,5643
60.8,5643
64.4,5644
68.3,5644
72.4,5643
75.0,5643
76.7,5643
81.3,5644
86.2,5644
91.4,5157
96.8,22691
100,25120
103,1553
109,1553
115,1553
122,1553
128,1553
130,1555
137,1554
146,1554
150,19000
