multiplier,weight
0.00,74458316
0.02,1358461
0.05,831043
0.08,390983
0.10,1154142
0.80,44551
0.825,44556
0.85,163388
0.875,376807
0.90,1404792
0.925,1404793
0.95,1404793
0.975,1404792
1.00,754751
1.02,1
1.03,1
1.04,1351980
1.05,1
1.06,1061500
1.08,1008984
1.09,1
1.10,1059588
1.12,58078
1.14,1823
1.15,1
1.16,831
1.18,43
1.20,43
1.22,43
1.24,43
1.26,43
1.28,43
1.30,43
1.32,43
1.34,43
1.36,42
1.38,42
1.40,42
1.42,42
1.44,42
1.46,42
1.48,42
1.50,976878
1.52,1
1.54,1
1.56,1
1.58,1
1.60,1
1.62,1
1.64,1
1.66,1
1.68,1
1.70,1
1.72,1
1.74,1
1.76,1
1.78,1
1.80,1
2.00,1397603
2.07,453192
2.19,453193
2.33,432205
2.47,406347
2.50,401272
2.61,383907
2.77,361683
2.94,341339
3.00,334838
3.11,58760
3.30,2209
3.50,2208
3.71,221
3.93,16
4.16,16
4.41,16
4.68,1
4.96,10001
5.00,805870
5.26,131957
5.57,131959
5.91,131959
6.26,128503
6.64,119730
7.04,111614
7.91,97049
8.38,90555
8.88,84471
9.42,3
9.98,10003
10.0,450908
10.6,92836
11.2,92838
11.9,92838
12.6,92838
13.4,87461
15.0,76389
15.9,71230
16.9,66203
17.9,14358
18.9,19383
20.0,399680
20.1,55043
21.3,55043
22.6,55045
23.9,55044
25.0,53699
25.4,52311
26.9,47586
28.5,43259
30.0,39748
32.0,35733
33.9,32489
36.0,29422
38.1,211
40.0,18147
40.4,3114
42.8,1
45.4,1
48.1,13049
50.0,67789
51.0,9059
54.1,9059
57.3,9059
60.8,9059
64.4,9061
68.3,9060
72.4,9061
75.0,9060
76.7,9061
81.3,9060
86.2,8521
91.4,183
96.8,19297
100,44760
103,4
109,3
115,3
122,4
130,3
137,3
146,4
150,3
154,3
164,3
173,1
184,1
195,1
207,1
213,1
219,1
232,1
246,3
250,23670
