multiplier,weight
0.00,66832553
0.02,1666667
0.05,666667
0.08,416667
0.10,1
0.875,1083955
0.90,1083958
0.925,1083959
0.95,1603918
0.975,1824209
1.00,1814032
1.02,1341295
1.04,1446333
1.06,1446321
1.08,1446307
1.10,1446283
1.12,941181
1.14,3279
1.16,3279
1.18,3279
1.20,3279
1.22,3279
1.24,3279
1.26,3279
1.28,3279
1.30,3279
1.32,3279
1.34,3279
1.36,3279
1.38,3279
1.40,3279
1.42,3279
1.44,3279
1.46,3278
1.48,3278
1.50,454712
1.52,1
1.54,1
1.56,1
1.58,1
1.60,1
1.62,1
1.64,1
1.66,1
1.68,1
1.70,1
1.72,1
1.74,1
1.76,1
1.78,1
1.80,47254
2.00,1813694
2.07,525079
2.19,516282
2.33,471201
2.47,432415
2.50,424806
2.61,398760
2.77,365431
2.94,334916
3.00,325169
3.11,308512
3.30,282969
3.50,259774
3.71,238734
3.93,219665
4.16,75119
4.41,74
4.68,1
4.96,10001
5.00,1098786
5.26,399527
5.57,399527
5.91,375515
6.26,350464
6.64,326536
7.04,304400
7.46,283953
7.50,282136
7.91,264680
8.38,246967
8.88,230376
9.42,88472
9.98,17852
10.0,241474
10.6,104137
11.2,104137
11.9,104137
12.6,100892
13.4,93708
14.2,87409
15.0,81845
15.9,76318
16.9,70931
17.9,66203
18.9,25546
20.0,102068
20.1,19985
21.3,19985
22.6,19985
23.9,19985
25.0,19985
25.4,19986
28.5,18025
30.0,16562
30.2,16381
32.0,14889
33.9,13537
36.0,12259
38.1,11164
40.0,10303
40.4,10135
42.8,9215
45.4,2283
48.1,11804
50.0,30617
51.0,6500
54.1,6500
57.3,6501
60.8,6500
63.8,2506
64.4,6501
68.3,6501
72.4,6502
75.0,19000
