multiplier,weight
0.00,62247441
0.02,1666667
0.05,666667
0.08,416667
0.10,1
0.45,50
0.48,50
0.50,50
0.51,50
0.54,50
0.57,50
0.61,50
0.65,50
0.68,50
0.73,50
0.77,50
0.81,50
0.86,50
0.875,1015128
0.90,1015128
0.92,50
0.925,1015128
0.95,1527096
0.97,50
0.975,2004000
1.00,2076399
1.02,1904715
1.03,14549
1.04,2076395
1.05,14544
1.06,2076394
1.08,2076394
1.09,14540
1.10,286156
1.12,864854
1.14,239015
1.15,1
1.16,124322
1.18,123541
1.20,123541
1.22,4467
1.24,2501
1.26,2492
1.28,2492
1.30,2492
1.32,2491
1.34,2489
1.36,2488
1.38,2487
1.40,2487
1.42,2487
1.44,2485
1.46,2485
1.48,153
2.00,1982150
2.07,1517527
2.19,1517527
2.33,1517529
2.47,1474776
2.50,548310
2.61,31209
2.77,31208
2.94,26053
3.00,26053
3.11,26052
3.30,26050
3.50,26049
3.71,26049
3.93,12065
4.16,1083
4.41,1083
4.68,1
4.96,61501
5.00,2016088
5.26,990029
5.57,990028
5.91,990030
6.26,913332
6.64,4023
7.04,99
7.46,99
7.50,98
7.91,95
8.38,95
8.88,9
9.42,1
9.98,61501
10.0,633551
10.6,63922
11.2,63923
11.9,63922
12.6,63922
13.4,63922
14.2,58094
15.0,8240
15.9,9719
16.9,2276
18.9,90440
20.0,282563
20.1,8154
21.3,8155
22.6,8156
23.9,8155
25.0,8155
25.4,8155
26.9,8156
32.0,8155
33.9,6191
40.0,2733
42.5,2501
42.8,3
45.4,3
48.1,3
50.0,76500
