multiplier,weight
0.00,78002336
0.02,1171902
0.05,930541
0.08,375436
0.10,1142810
0.125,509022
0.15,509022
0.175,509022
0.875,39280
0.90,1201148
0.925,1201148
0.95,1201148
0.975,1209521
1.00,1206547
1.02,749999
1.04,801626
1.06,801626
1.08,807989
1.10,45518
1.12,45521
1.14,45517
1.16,11013
1.18,11013
1.20,11013
1.22,11013
1.24,11013
1.26,11013
1.28,11013
1.30,11013
1.32,11013
1.34,11013
1.36,11013
1.38,11012
1.40,11012
1.42,11012
1.44,11012
1.46,11012
1.48,11012
1.50,11012
1.52,11012
1.54,11011
1.56,11011
1.58,11011
1.60,11011
1.62,11011
1.64,11011
1.66,11011
1.68,11011
1.70,11011
1.72,11010
1.74,11010
1.76,11010
1.78,11010
1.80,11010
1.98,400253
2.00,323307
2.07,307046
2.19,282159
2.33,257114
2.47,235567
2.50,231339
2.61,216870
2.77,198353
2.94,181401
3.00,175986
3.11,166732
3.30,152542
3.50,139655
3.71,127967
3.93,117374
4.16,107775
4.41,98742
4.68,90321
4.96,82782
5.00,152984
5.26,143956
5.57,134396
5.91,125172
6.26,116821
6.64,108845
7.04,101467
7.46,94651
7.50,94045
7.91,88227
8.38,82322
8.88,76792
9.42,71540
9.98,66751
10.0,106510
10.6,99317
11.2,92967
11.9,86444
12.6,80714
13.4,74966
14.2,69927
15.0,65476
15.9,61054
16.9,56745
17.9,52963
18.9,49618
20.0,52058
20.1,51631
21.3,46920
22.6,42551
23.9,38800
25.0,36023
25.4,35092
26.9,31922
28.5,29019
30.0,26665
30.2,26374
32.0,23971
33.9,21795
36.0,19737
38.1,17975
40.0,16588
40.4,16318
42.8,14835
45.4,13460
48.1,12236
50.0,22674
51.0,21945
54.1,19909
57.3,18108
60.8,16420
64.4,14933
68.3,13553
72.4,12310
75.0,11614
76.7,11192
81.3,10167
86.2,9231
91.4,8380
96.8,7623
100,8750
103,8334
109,7591
115,6948
122,6303
130,5676
137,5205
146,4686
150,4482
154,4292
164,3868
173,3542
184,3199
195,2907
207,2944
219,2683
232,2439
246,2214
250,2156
261,2008
276,1831
293,1659
311,1504
329,1371
349,1243
370,1129
392,1027
416,931
441,845
467,769
495,699
500,684
525,631
556,574
590,521
625,473
662,431
702,391
744,355
789,322
836,293
887,266
940,241
996,219
1000,1
1056,1
1119,1
1186,1
1258,1
1333,9
1413,44
1498,40
1588,37
1683,33
1784,30
1891,27
2004,25
2125,690
2252,21
2387,19
2500,333
