multiplier,weight
0.00,76231321
0.02,1292255
0.05,866353
0.08,385466
0.10,1104869
0.125,236367
0.15,236367
0.175,236366
0.80,17596
0.825,44180
0.85,122039
0.875,229032
0.90,1307277
0.925,1307278
0.95,1307277
0.975,1307278
1.00,1299664
1.02,1076890
1.04,1307277
1.06,1307277
1.08,163903
1.10,83801
1.12,83802
1.14,83799
1.16,64497
1.18,64494
1.20,64494
1.22,64492
1.24,64491
1.26,64489
1.28,64487
1.30,64486
1.32,64486
1.34,64484
1.36,64484
1.38,64482
1.40,64482
1.42,64480
1.44,64479
1.46,64476
1.48,8638
1.50,48
1.52,11
1.54,11
1.56,11
1.58,11
1.60,11
1.62,11
1.64,11
1.66,11
1.68,11
1.70,11
1.72,11
1.74,11
1.76,11
1.78,11
1.80,33550
2.00,177360
2.07,321751
2.19,310374
2.33,282825
2.47,259123
2.50,254473
2.61,238557
2.77,218189
2.94,199541
3.00,193584
3.11,183405
3.30,167796
3.50,153621
3.71,140764
3.93,129111
4.16,118553
4.41,108616
4.68,99354
4.96,169624
5.00,114586
5.26,159011
5.57,159011
5.91,150206
6.26,140186
6.64,130614
7.04,121760
7.46,113581
7.50,112855
7.91,105872
8.38,98787
8.88,92150
9.42,85848
9.98,123171
10.0,82501
10.6,96154
11.2,96155
11.9,93648
12.6,87440
13.4,81214
14.2,75754
15.0,70932
15.9,66142
16.9,61474
17.9,57376
18.9,80271
20.0,37901
20.1,47250
21.3,47251
22.6,47252
23.9,43378
25.0,40274
25.4,39233
26.9,35689
28.5,32444
30.0,29811
30.2,29486
32.0,26800
33.9,24367
36.0,22066
38.1,20096
40.0,18545
40.4,18243
42.8,16586
45.4,15048
48.1,28956
50.0,19143
51.0,16563
54.1,16564
57.3,16565
60.8,16565
64.4,16082
68.3,14595
72.4,13257
75.0,12507
76.7,12053
81.3,10949
86.2,9941
91.4,9025
96.8,19824
100,7604
103,3574
109,3574
115,3573
122,3573
130,3574
137,3575
146,3574
150,3574
154,3574
164,3482
173,3188
184,2880
195,12410
207,6029
219,257
232,257
246,258
250,257
261,257
276,258
293,257
311,257
329,257
349,258
370,258
392,257
416,258
425,257
441,258
467,257
495,255
500,8333
