multiplier,weight
0.00,48294926
0.02,1666667
0.05,666667
0.08,416667
0.10,122257
0.875,278078
0.90,1372140
0.925,1372141
0.95,1372143
0.975,2838198
1.00,2834088
1.02,988844
1.03,1
1.04,2843779
1.05,1
1.06,2843779
1.08,1155009
1.09,1
1.10,1155016
1.12,2202269
1.14,1154497
1.15,1
1.16,605526
1.18,602699
1.20,600160
1.22,577824
1.23,1
1.24,577814
1.25,1
1.26,577810
1.28,577805
1.30,577797
1.32,205321
1.34,12137
1.36,12137
1.38,12137
1.40,11121
1.42,10368
1.44,10367
1.46,10366
1.48,10366
1.50,511045
1.52,1
1.54,1
1.56,1
1.58,1
1.60,1
1.62,1
1.64,1
1.66,1
1.68,1
1.70,1
1.72,1
1.74,1
1.76,1
1.78,1
1.80,9692
2.00,2552815
2.07,2139313
2.19,2139315
2.33,2131111
2.47,2034145
2.50,2015121
2.61,1950006
2.77,1866682
2.94,1071310
3.00,2575
3.11,2575
3.30,2575
3.50,222
3.71,222
3.93,222
4.16,26
4.41,2
4.68,1
4.96,467049
5.00,815805
5.26,98677
5.57,98677
5.91,98676
6.26,98678
6.64,98678
7.04,98678
7.46,98677
7.50,98677
7.91,98678
8.38,26037
9.42,2989
9.98,180200
10.0,452268
10.6,626
11.2,626
11.9,625
12.6,625
13.4,626
14.2,626
15.0,625
16.9,626
17.9,626
18.9,625
20.0,626
20.1,626
21.3,1
22.6,1
23.9,1
25.0,1
25.4,1
25.5,1
26.9,1
28.5,626
30.0,161500
